split,filename,niqe,brisque,piqe
val,0_1_part_004.mp4_frame_000201.jpg,6.7025,56.9499,67.9283
val,0_1_part_004.mp4_frame_000218.jpg,6.4884,52.3635,66.1613
val,0_1_part_004.mp4_frame_000223.jpg,5.9722,48.6223,61.2509
val,0_1_part_004.mp4_frame_000229.jpg,6.0465,48.8835,63.0263
val,0_1_part_004.mp4_frame_000243.jpg,5.9016,46.8132,59.8277
val,0_1_part_004.mp4_frame_000277.jpg,5.8662,47.6711,62.6124
val,0_1_part_004.mp4_frame_000301.jpg,5.3718,41.1921,58.3258
val,0_1_part_004.mp4_frame_000312.jpg,4.8004,35.862,42.5974
val,0_1_part_004.mp4_frame_000323.jpg,4.0725,34.7531,38.0034
val,0_1_part_004.mp4_frame_000325.jpg,3.9116,33.8498,33.4862
val,0_1_part_004.mp4_frame_000336.jpg,3.6732,34.1125,30.8996
val,0_1_part_004.mp4_frame_000341.jpg,3.9888,39.1159,25.5025
val,0_1_part_004.mp4_frame_000344.jpg,4.0469,38.5974,24.329
val,0_1_part_004.mp4_frame_000353.jpg,4.2098,31.4977,40.0138
val,0_1_part_004.mp4_frame_000395.jpg,4.1153,33.0378,36.349
val,0_1_part_004.mp4_frame_000421.jpg,4.0052,32.1447,35.7516
val,0_1_part_004.mp4_frame_000438.jpg,3.9292,31.9753,34.1406
val,0_1_part_004.mp4_frame_000477.jpg,3.9952,32.3386,34.3676
val,0_1_part_004.mp4_frame_000480.jpg,3.9591,32.5236,34.5187
val,0_1_part_004.mp4_frame_000482.jpg,3.8849,32.2062,33.0735
val,0_1_part_004.mp4_frame_000485.jpg,3.9583,32.4758,33.8669
val,0_1_part_004.mp4_frame_000486.jpg,3.9494,32.2492,33.9858
val,0_1_part_004.mp4_frame_000498.jpg,3.9182,33.0666,34.4043
val,0_1_part_004.mp4_frame_000500.jpg,3.956,33.1862,34.4128
val,0_1_part_004.mp4_frame_000508.jpg,3.9673,33.0016,35.5228
val,0_1_part_004.mp4_frame_000539.jpg,4.0033,33.5466,34.317
val,0_1_part_004.mp4_frame_000568.jpg,3.8773,33.1154,33.7585
val,0_1_part_004.mp4_frame_000575.jpg,4.0309,34.32,37.1119
val,0_1_part_004.mp4_frame_000583.jpg,4.015,33.7165,36.5352
val,0_1_part_005.mp4_frame_000007.jpg,3.9178,32.1315,33.3807
val,0_1_part_005.mp4_frame_000015.jpg,4.0679,26.6052,42.3128
